School Name,Pickup Route,Pickup Bus Stop,Pickup Time,Dropoff Route,Dropoff Bus Stop,Dropoff Time
AL HOLMES,210,GRATIOT AVE@JOANN ST,7:50 AM,210,GRATIOT AVE@JOANN ST,4:12 PM
AL HOLMES,210,WALTHAM ST@NASHVILLE ST,7:54 AM,210,WALTHAM ST@NASHVILLE ST,4:09 PM
AL HOLMES,210,FINDLAY ST@HAMBURG ST,7:56 AM,210,FINDLAY ST@HAMBURG ST,4:02 PM
AL HOLMES,210,SAUER ST@RUNYON ST,8:02 AM,210,SAUER ST@RUNYON ST,4:25 PM
AL HOLMES,210,ENGLESIDE ST@BRADFORD ST,8:05 AM,210,ENGLESIDE ST@BRADFORD ST,4:07 PM
AL HOLMES,210,MINDEN ST@BRADFORD ST,8:06 AM,210,MINDEN ST@BRADFORD ST,4:05 PM
AL HOLMES,210,WOODLAWN ST@RAYMOND ST,8:16 AM,210,WOODLAWN ST@RAYMOND ST,3:49 PM
AL HOLMES,244,MARCUS ST@DWYER ST,7:46 AM,244,MARCUS ST@DWYER ST,4:16 PM
AL HOLMES,244,FOSTER ST@FARR ST,7:54 AM,244,FOSTER ST@FARR ST,4:06 PM
AL HOLMES,244,FOSTER ST@BENHAM ST,7:56 AM,244,FOSTER ST@BENHAM ST,4:03 PM
AL HOLMES,244,SHERWOOD ST@STRONG ST,8:00 AM,244,SHERWOOD ST@STRONG ST,4:01 PM
AL HOLMES,244,MILLER ST@HELEN ST,8:02 AM,244,MILLER ST@HELEN ST,4:11 PM
AL HOLMES,244,HARPER AVE@CANTON ST,8:05 AM,244,HARPER AVE@CANTON ST,3:59 PM
AL HOLMES,244,STRONG ST@LARK ST,8:07 AM,244,STRONG ST@LARK ST,3:57 PM
AL HOLMES,244,EDSEL FORD FWY E@CRANE ST,8:11 AM,244,EDSEL FORD FWY E@CRANE ST,3:54 PM
AL HOLMES,244,GRINNELL ST@MURAT ST,8:16 AM,244,GRINNELL ST@MURAT ST,3:49 PM
AL HOLMES,503,MCNICHOLS RD E@DWYER ST,8:00 AM,503,MCNICHOLS RD E@DWYER ST,4:04 PM
AL HOLMES,503,ELDON ST@DOBEL ST,8:04 AM,503,ELDON ST@DOBEL ST,3:59 PM
AL HOLMES,503,MONTLIEU ST@CASTLE ST,8:07 AM,503,MONTLIEU ST@CASTLE ST,3:56 PM
AL HOLMES,503,CARRIE ST@TAPPAN ST,8:13 AM,503,CARRIE ST@TAPPAN ST,3:52 PM
AL HOLMES,503,ARCOLA ST@ELDON ST,8:15 AM,503,ARCOLA ST@ELDON ST,3:50 PM
AL HOLMES,504,PORTLANCE ST@CANONBURY ST,7:48 AM,504,PORTLANCE ST@CANONBURY ST,4:20 PM
