SchoolID,SchoolName,ScrapedLink,Principal
4,Henderson Academy,https://henderson.detroitk12.org,Roy D. Harris
5,A.L. Holmes Academy of Blended Learning,https://holmes.detroitk12.org,Nicole Armstrong
18,Cody High School,https://cody.detroitk12.org,Jason Solomon
29,Davis Aerospace Technical High School at Golightly,https://davisaerospace.detroitk12.org,Michelle Davis
32,Osborn High School,https://osborn.detroitk12.org,
39,Detroit International Academy for Young Women,https://dia.detroitk12.org,Ashley Monteleone
103,Ann Arbor Trail Magnet School,https://annarbortrail.detroitk12.org,
109,Unnamed,,
110,Early Intervention Diagnosis Center,,
168,Bagley Elementary School of Journalism and Technology,https://bagley.detroitk12.org,
176,Golightly Education Center,https://golightlyeducationcenter.detroitk12.org,Domini Nailer
238,Roberto Clemente Learning Academy,https://clemente.detroitk12.org,
277,Bennett Elementary School,https://bennett.detroitk12.org,
446,Bunche Preparatory Academy,https://bunche.detroitk12.org,Nicole Samuel
456,Burns Elementary-Middle School,https://burns.detroitk12.org,Cynthia Clayton
468,Burton International Academy,https://burton.detroitk12.org,Chantay Blankenship
542,Carstens Academy of Aquatic Science at Remus ,https://carstens.detroitk12.org,Cassandra Moore
546,Carver STEM Academy,https://carver.detroitk12.org,DaRhonda Evans
554,Cass Technical High School,https://casstech.detroitk12.org,Lisa Phillips
617,Central Academy and High School,https://central.detroitk12.org,LaToyia Webb
689,Chrysler Elementary School,https://chrysler.detroitk12.org,Wendy Y. Shirley
781,Cooke STEM Academy,https://cooke.detroitk12.org,Jason A. Drain
853,Mackenzie Elementary-Middle School,https://mackenzie.detroitk12.org,Morenike Hood
857,Thurgood Marshall Elementary School,https://marshall.detroitk12.org,Janeene Montgomery
858,Munger Elementary-Middle School,https://munger.detroitk12.org,Donnell Burroughs
859,Charles R. Drew Transition Center,https://drew.detroitk12.org,Robert Avedisian
860,Earhart Elementary-Middle School,https://earhart.detroitk12.org,Anisa Proud
865,Crockett Midtown High School of Science and Medicine,https://crockett.detroitk12.org,Lauren Kazin
880,Davison Elementary-Middle School,https://davison.detroitk12.org,Randall Coleman
902,Denby High School,https://denby.detroitk12.org,Kianta Bankston
925,Dixon Educational Learning Academy,https://dixon.detroitk12.org,Corey Pitts
939,Dossin Elementary-Middle School,https://dossin.detroitk12.org,Victor Frosh
975,Durfee Elementary-Middle School,https://durfee.detroitk12.org,LaToyia Webb
1043,Martin Luther King Jr. Senior High School,https://king.detroitk12.org,Damian Perry
1084,Edison Elementary School,https://edison.detroitk12.org,Kristina Christian
1134,Emerson Elementary-Middle School,https://emerson.detroitk12.org,Alonzo F. Terry
1189,East English Village Preparatory Academy,https://eevpa.detroitk12.org,Myron Montgomery
1362,Gardner Elementary School,https://gardner.detroitk12.org,Lynn Bradley
1438,Gompers Elementary-Middle School,https://gompers.detroitk12.org,Akeya Murphy
1493,Greenfield Union Elementary-Middle School,https://greenfieldunion.detroitk12.org,
1518,Mary McLeod Bethune Elementary-Middle School,https://bethune.detroitk12.org,William Jackson
1552,Palmer Park Preparatory Academy,https://palmerpark.detroitk12.org,
1574,Harms Elementary School,https://harms.detroitk12.org,Aurelia Ramos
1634,Henry Ford High School,https://ford.detroitk12.org,Shannan Richardson
1803,Hutchinson Elementary-Middle School at Howe,https://hutchinson.detroitk12.org,Vivian Pearson
2036,John R.King Academic and Performing Arts Academy,https://jrking.detroitk12.org,Jennifer Spencer
2058,Catherine C. Blackwell Institute,https://blackwell.detroitk12.org,
2341,Mann Learning Community,https://mann.detroitk12.org,Lakeisha Simpson
2377,Marion Law Academy,https://law.detroitk12.org,Denise M. Allen
2383,Mark Twain School for Scholars,https://twain.detroitk12.org,Jemel Hence
2390,Marquette Elementary-Middle School,https://marquette.detroitk12.org,Stephanie Barker
2431,Mason Academy,https://mason.detroitk12.org,Adrian Johnson
2448,Maybury Elementary School,https://maybury.detroitk12.org,Latisha Smith
2461,Breithaupt Career and Technical Center,https://breithauptctc.detroitk12.org,Felicia H. Moore
2465,Randolph Career and Technical Center,https://randolphctc.detroitk12.org,
2479,Golightly Career and Technical  Center,https://golightlyeducationcenter.detroitk12.org,Domini Nailer
2644,Mumford High School,https://mumford.detroitk12.org,Nolan Procter
2669,Neinas Dual Language Learning Academy,https://neinas.detroitk12.org,Adriana Rendon
2703,Nichols Elementary-Middle School,https://nichols.detroitk12.org,
2708,Nolan Elementary-Middle School,https://nolan.detroitk12.org,
2778,Northwestern High School,https://northwestern.detroitk12.org,
2882,Bates Academy,https://bates.detroitk12.org,David Bailey
2969,Pasteur Elementary School,https://pasteur.detroitk12.org,Karla Craig
3015,Pershing High School,https://pershing.detroitk12.org,
3123,Priest Elementary-Middle School,https://priest.detroitk12.org,
3130,Pulaski Elementary-Middle School,https://pulaski.detroitk12.org,
3276,Academy of the Americas,https://academyoftheamericas.detroitk12.org,Nicholas Brown
3284,Turning Point Academy (Former),,
3420,Schulze Academy for Technology and Arts,https://schulze.detroitk12.org,
3481,Adult Essential Skills Program,,
3540,Southeastern High School,https://southeastern.detroitk12.org,
3558,Spain Elementary-Middle School,https://spain.detroitk12.org,
3638,The School at Marygrove,https://marygrove.detroitk12.org,
3639,Edmonson Elementary School,https://edmonson.detroitk12.org,PaShawn Johnson
3640,Barton Elementary School,https://barton.detroitk12.org,
3645,Academy of the Americas at Logan,https://academyoftheamericas.detroitk12.org/,Nicholas Brown
3717,Coleman A. Young Elementary School,https://young.detroitk12.org,Evege James
3737,Edward 'Duke' Ellington Conservatory of Music & Art at Beckham Academy,https://ellington.detroitk12.org,Kimberly Pierce
4023,DPSCD Virtual School,https://virtual.detroitk12.org,Zerrick Lake
4062,Ronald Brown Academy,https://brown.detroitk12.org,
4156,Thirkell Elementary-Middle School,https://thirkell.detroitk12.org,
4292,Vernor Elementary-Middle School,https://vernor.detroitk12.org,
4319,Bow Elementary-Middle School,https://bow.detroitk12.org,
4349,Fisher Magnet Academy (PreK-4),https://fisher.detroitk12.org,Shekitra Green
4349,Fisher Magnet Academy (5-8),https://fisher.detroitk12.org,Shekitra Green
4406,Wayne Elementary School,https://wayne.detroitk12.org,Kimberly Dawkins
4413,Sampson-Webber Leadership Academy,https://sampson.detroitk12.org,
4477,Western International High School,https://western.detroitk12.org,
5553,Carleton Elementary School,https://carleton.detroitk12.org,Julia Pitts
6103,Noble Elementary-Middle School,https://noble.detroitk12.org,
6971,Renaissance High School,https://renaissance.detroitk12.org,
7135,Frederick Douglass Academy for Young Men,https://douglass.detroitk12.org,Willie L. White
7326,Foreign Language Immersion and Cultural Studies School (FLICS),https://flics.detroitk12.org,Bret Woodley
7500,Clippert Multicultural Magnet Honors Academy,https://clippert.detroitk12.org,Gina Liverpool
7581,Garvey Academy,https://garvey.detroitk12.org,Mama Winston
7633,Paul Robeson Malcolm X Academy,https://robesonmalcolmx.detroitk12.org,
7633,Paul Robeson Malcolm X Academy,https://robesonmalcolmx.detroitk12.org,
7654,Communication and Media Arts High School,https://cma.detroitk12.org,Tiffany Cox
7794,Detroit School of Arts,https://dsa.detroitk12.org,Lisa Reynolds
8929,Turning Point Academy,https://turningpoint.detroitk12.org,
8929,Detroit Lions Academy,https://detroitlions.detroitk12.org,King
8951,Moses Field Center,https://field.detroitk12.org,Courtney Sanders
9125,Charles Wright Academy of Arts and Science,https://wright.detroitk12.org,Laura Jawor
9341,Brenda Scott Academy,https://brendascott.detroitk12.org,Lawanda Smith
9475,Diann Banks Williamson Education Center,https://banks.detroitk12.org,
9592,Jerry L. White Center ,https://white.detroitk12.org,Roslyn V. Fluker
9594,Keidan Special Education Center,https://keidan.detroitk12.org,Rusan M. Weems
9991,Brewer Academy,https://brewer.detroitk12.org,Stephen D. Garcia
9992,J. E. Clark Preparatory Academy,https://clark.detroitk12.org,
9994,Hamilton Elementary-Middle School,https://hamilton.detroitk12.org,Sharida Lewis
